galaxy,branch,requested_kmin,mbar_inner,sigma_inner_fit_psf,sigma_inner,sigma_inner_method,mbar_outer,sigma_outer_fit_psf,sigma_outer,sigma_outer_method,mbar_weighted,sigma_weighted_formal,annulus_difference,annulus_half_difference,sigma_adopted_internal
NGC 1404,no_winsor,0.01,28.081553790179996,0.022462991502733422,0.022462991502733422,"max(fit covariance + PSF MAD, k-window MAD)",28.214100650417087,0.01606346731133986,0.01606346731133986,"max(fit covariance + PSF MAD, k-window MAD)",28.16925304186724,0.013066296692458202,0.13254686023709183,0.06627343011854592,0.06627343011854592
NGC 1404,no_winsor,0.03,28.085965477647616,0.022912192182400138,0.022912192182400138,"max(fit covariance + PSF MAD, k-window MAD)",28.217015205226264,0.01641881159939823,0.01641881159939823,"max(fit covariance + PSF MAD, k-window MAD)",28.172552021463982,0.013345930552758015,0.13104972757864886,0.06552486378932443,0.06552486378932443
NGC 1404,no_winsor,0.04,28.091500511043797,0.021879248757982816,0.021879248757982816,"max(fit covariance + PSF MAD, k-window MAD)",28.219075325562002,0.01670871427468867,0.01670871427468867,"max(fit covariance + PSF MAD, k-window MAD)",28.172080608367526,0.013279277712300006,0.12757481451820496,0.06378740725910248,0.06378740725910248
NGC 1404,raw_global_3p5,0.01,28.18618476640762,0.021952882983091192,0.021952882983091192,"max(fit covariance + PSF MAD, k-window MAD)",28.217288072993316,0.016105464049930247,0.016105464049930247,"max(fit covariance + PSF MAD, k-window MAD)",28.206405032793707,0.012985641188111524,0.03110330658569538,0.01555165329284769,0.01555165329284769
NGC 1404,raw_global_3p5,0.03,28.190569938044778,0.0224165894055975,0.0224165894055975,"max(fit covariance + PSF MAD, k-window MAD)",28.22020051260773,0.01646693453140269,0.01646693453140269,"max(fit covariance + PSF MAD, k-window MAD)",28.20981534449773,0.01327107997021123,0.02963057456295104,0.01481528728147552,0.01481528728147552
NGC 1404,raw_global_3p5,0.04,28.196127860134784,0.021372908124800378,0.021372908124800378,"max(fit covariance + PSF MAD, k-window MAD)",28.222268079479345,0.016757542378483117,0.016757542378483117,"max(fit covariance + PSF MAD, k-window MAD)",28.212316333102322,0.01318738407132633,0.0261402193445619,0.01307010967228095,0.01318738407132633
NGC 1404,normalized_full_3p5,0.01,28.104901330450605,0.02214923603836821,0.02214923603836821,"max(fit covariance + PSF MAD, k-window MAD)",28.21978230631063,0.01620911978378549,0.01620911978378549,"max(fit covariance + PSF MAD, k-window MAD)",28.179715470341385,0.0130805865077872,0.1148809758600251,0.05744048793001255,0.05744048793001255
NGC 1404,normalized_full_3p5,0.03,28.109365748539126,0.02255385202628413,0.02255385202628413,"max(fit covariance + PSF MAD, k-window MAD)",28.22271952512406,0.01657086711574947,0.01657086711574947,"max(fit covariance + PSF MAD, k-window MAD)",28.18298069864401,0.013353965462700977,0.11335377658493329,0.05667688829246664,0.05667688829246664
NGC 1404,normalized_full_3p5,0.04,28.114919046067378,0.02149792951867813,0.02149792951867813,"max(fit covariance + PSF MAD, k-window MAD)",28.224803429577463,0.01686129551753646,0.01686129551753646,"max(fit covariance + PSF MAD, k-window MAD)",28.182952140722463,0.013267315755973126,0.10988438351008512,0.05494219175504256,0.05494219175504256
NGC 1404,normalized_union_3p5,0.01,28.104783987378664,0.02214987218198084,0.02214987218198084,"max(fit covariance + PSF MAD, k-window MAD)",28.219701703007726,0.01620727654236339,0.01620727654236339,"max(fit covariance + PSF MAD, k-window MAD)",28.179629488911573,0.013079748752603499,0.11491771562906195,0.05745885781453097,0.05745885781453097
NGC 1404,normalized_union_3p5,0.03,28.109248321561335,0.022554469660205814,0.022554469660205814,"max(fit covariance + PSF MAD, k-window MAD)",28.222638579857342,0.016568971832460536,0.016568971832460536,"max(fit covariance + PSF MAD, k-window MAD)",28.182894283110578,0.013353101671567082,0.11339025829600757,0.05669512914800379,0.05669512914800379
NGC 1404,normalized_union_3p5,0.04,28.11480163543256,0.02149858075272183,0.02149858075272183,"max(fit covariance + PSF MAD, k-window MAD)",28.224722179176485,0.016859399318415715,0.016859399318415715,"max(fit covariance + PSF MAD, k-window MAD)",28.182864518406824,0.013266544970089243,0.10992054374392524,0.05496027187196262,0.05496027187196262
