galaxy,ring,branch,requested_kmin,effective_kmin,kmax,n_psf,P0,P0_sigma_formal,P0_psf_mad,P0_sigma_total,P1,P1_negative_fraction,Pr,P_fluctuation,mbar,mbar_sigma,chi2_reduced,aicc,condition_number,k_window_scatter,k_window_scatter_method,sigma_measurement,sigma_measurement_method
NGC 4649,inner,no_winsor,0.01,0.01,0.25,5,1.1588794669223377,0.029012317377900852,0.0008948804169781275,0.029026115320461655,-0.10232241683610177,1.0,0.0003016493038448,1.1585778176184929,27.839946088291793,0.027201197716429336,55.01006187773366,1379.7515469433415,18.768118911427194,0.008036164160958937,k-window MAD,0.027201197716429336,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4649,inner,no_winsor,0.03,0.03,0.25,5,1.1531099150737767,0.025901196255789002,0.000921522430156483,0.025917584205905068,-0.10130870611420764,1.0,0.0003016493038448,1.152808265769932,27.845366406759997,0.02440966147429974,43.46500475869376,1004.240563995411,18.848892432794432,0.008036164160958937,k-window MAD,0.02440966147429974,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4649,inner,no_winsor,0.04,0.04,0.25,5,1.1467637330806772,0.02427114901883353,0.000991358273903929,0.024291386661153408,-0.10017991048988042,1.0,0.0003016493038448,1.1464620837768325,27.851359870773663,0.023004718895637596,37.597786194648236,831.7227248536898,18.988689740956225,0.008036164160958937,k-window MAD,0.023004718895637596,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4649,inner,raw_global_3p5,0.01,0.01,0.25,5,0.9804935630129407,0.024464303137416356,0.0007549421206498509,0.024475948717157647,-0.08540755105769422,1.0,0.0003016493038448,0.9801919137090959,28.02148132267951,0.027111449601193285,54.07338327333254,1356.3345818333135,18.58445750004195,0.008206236694399554,k-window MAD,0.027111449601193285,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4649,inner,raw_global_3p5,0.03,0.03,0.25,5,0.9755093074411644,0.021466239522160837,0.0007736005050820026,0.02148017450963197,-0.0845303631374739,1.0,0.0003016493038448,0.9752076581373196,28.02701635349996,0.023914704683693295,41.28944710172854,954.2027378852109,18.660461286855625,0.008206236694399554,k-window MAD,0.023914704683693295,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4649,inner,raw_global_3p5,0.04,0.04,0.25,5,0.9699713742265242,0.019955866682146123,0.0008344660260297481,0.019973305900230626,-0.08354312932484444,1.0,0.0003016493038448,0.9696697249226794,28.03319952051443,0.02236404910581152,35.13694974426528,777.5843229452647,18.802768745444695,0.008206236694399554,k-window MAD,0.02236404910581152,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4649,inner,normalized_full_3p5,0.01,0.01,0.25,5,1.1451092720754708,0.028640736813739305,0.0009085497679258742,0.028655143829942296,-0.1010500743088027,1.0,0.0003016493038448,1.144807622771626,27.852927829813815,0.02717655481136353,54.897665817511076,1376.941645437777,18.767145872196522,0.00806276752551345,k-window MAD,0.02717655481136353,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4649,inner,normalized_full_3p5,0.03,0.03,0.25,5,1.1393894682185084,0.025505609733458317,0.0009342464194574908,0.02552271428057276,-0.10004518007896651,1.0,0.0003016493038448,1.1390878189146636,27.858366092005582,0.024327303372024895,43.16306856009907,997.2960314277332,18.847216561720135,0.00806276752551345,k-window MAD,0.024327303372024895,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4649,inner,normalized_full_3p5,0.04,0.04,0.25,5,1.1331302724931518,0.02390485937580159,0.0010042509792383292,0.023925944533208093,-0.09893150498874506,1.0,0.0003016493038448,1.132828623189307,27.864348576642524,0.02293132754679505,37.34778665534827,826.2227349890906,18.9876450797239,0.00806276752551345,k-window MAD,0.02293132754679505,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4649,inner,normalized_union_3p5,0.01,0.01,0.25,5,1.1476742325288385,0.0287261914103121,0.0009108986021936191,0.028740629937518188,-0.10128169000944794,1.0,0.0003016493038448,1.1473725832249937,27.850497940939384,0.02719669523827186,54.98253252681992,1379.0633131704978,18.767997814237187,0.008064601926363673,k-window MAD,0.02719669523827186,"max(fit covariance + PSF MAD, k-window MAD)"
